seed,dimension,count,query_index,query_w2,allowed_query_radius,log_error_upper,log_theorem_bound,bound_passed
20260730,220,1825,46,0.012163272811190748,0.01351474756798972,-1116.2956936449427,-3.205361488674241,True
20260730,220,1825,47,0.012163272811190748,0.01351474756798972,-1032.7135986824417,-3.205361488674241,True
20260730,220,1825,48,0.012163272811190748,0.01351474756798972,-1058.9688137071062,-3.205361488674241,True
20260730,220,1825,49,0.012163272811190748,0.01351474756798972,-1091.601636460939,-3.205361488674241,True
20260730,220,1825,50,0.012163272811190748,0.01351474756798972,-1034.4124859639337,-3.205361488674241,True
20260730,220,1825,51,0.012163272811190748,0.01351474756798972,-1079.8116806488556,-3.205361488674241,True
20260730,220,1825,52,0.012163272811190748,0.01351474756798972,-1037.8787831042837,-3.205361488674241,True
20260730,220,1825,53,0.012163272811190748,0.01351474756798972,-1053.011545468505,-3.205361488674241,True
20260730,220,1825,54,0.012163272811190748,0.01351474756798972,-1087.0160631853155,-3.205361488674241,True
20260730,220,1825,55,0.012163272811190748,0.01351474756798972,-1039.4081329339062,-3.205361488674241,True
20260730,220,1825,56,0.012163272811190748,0.01351474756798972,-1072.2621134272488,-3.205361488674241,True
20260730,220,1825,57,0.012163272811190748,0.01351474756798972,-1103.5176627188393,-3.205361488674241,True
20260730,220,1825,58,0.012163272811190748,0.01351474756798972,-1061.5057029772556,-3.205361488674241,True
20260730,220,1825,59,0.012163272811190748,0.01351474756798972,-1073.0877380158108,-3.205361488674241,True
20260730,220,1825,60,0.012163272811190748,0.01351474756798972,-1035.8318811272607,-3.205361488674241,True
20260730,220,1825,61,0.012163272811190748,0.01351474756798972,-1045.198956893756,-3.205361488674241,True
20260730,220,1825,62,0.012163272811190748,0.01351474756798972,-1047.516937730125,-3.205361488674241,True
20260730,220,1825,63,0.012163272811190748,0.01351474756798972,-1048.3889412531476,-3.205361488674241,True
20260730,260,9390,0,0.005362275040523719,0.005958083378359687,-1271.918311280398,-4.024394141767099,True
20260730,260,9390,1,0.005362275040523719,0.005958083378359687,-1237.2332483284442,-4.024394141767099,True
20260730,260,9390,2,0.005362275040523719,0.005958083378359687,-1238.5794670575406,-4.024394141767099,True
20260730,260,9390,3,0.005362275040523719,0.005958083378359687,-1276.0589889064984,-4.024394141767099,True
20260730,260,9390,4,0.005362275040523719,0.005958083378359687,-1228.1400383763432,-4.024394141767099,True
20260730,260,9390,5,0.005362275040523719,0.005958083378359687,-1250.4826193098445,-4.024394141767099,True
20260730,260,9390,6,0.005362275040523719,0.005958083378359687,-1251.6260108533615,-4.024394141767099,True
20260730,260,9390,7,0.005362275040523719,0.005958083378359687,-1278.427041660803,-4.024394141767099,True
20260730,260,9390,8,0.005362275040523719,0.005958083378359687,-1246.9649303631575,-4.024394141767099,True
20260730,260,9390,9,0.005362275040523719,0.005958083378359687,-1267.7145276827052,-4.024394141767099,True
20260730,260,9390,10,0.005362275040523719,0.005958083378359687,-1223.057234049753,-4.024394141767099,True
20260730,260,9390,11,0.005362275040523719,0.005958083378359687,-1216.8300732681275,-4.024394141767099,True
20260730,260,9390,12,0.005362275040523719,0.005958083378359687,-1256.6055199878504,-4.024394141767099,True
20260730,260,9390,13,0.005362275040523719,0.005958083378359687,-1227.3890175467438,-4.024394141767099,True
20260730,260,9390,14,0.005362275040523719,0.005958083378359687,-1264.635833816345,-4.024394141767099,True
20260730,260,9390,15,0.005362275040523719,0.005958083378359687,-1275.984358633289,-4.024394141767099,True
